epoch;accuracy;loss;val_accuracy;val_loss
0;0.27550638;1.8953960118665387;0.2763572633266449;1.8683226047191477
1;0.278036;1.8660709064901144;0.26295480132102966;1.8720958929396554
2;0.27826932;1.8640399472997102;0.27638500928878784;1.8694156767878871
3;0.2794706;1.8621522372544763;0.2763572633266449;1.8697732593583665
4;0.27913794;1.8619454118359429;0.27659323811531067;1.8704090595152694
0;0.2749127;1.8963836579245352;0.27644747495651245;1.8684481776970798
1;0.27778187;1.866383549279618;0.2645580768585205;1.8691914419365407
2;0.27752316;1.8642011819363178;0.2763572633266449;1.8690629540491357
3;0.2788838;1.862088771007747;0.27634337544441223;1.8695417863970953
4;0.27903628;1.861882828212511;0.2764405310153961;1.8694357328278959
0;0.27443215;1.896381734089863;0.2763572633266449;1.8684599134635054
0;0.27565655;1.894110111506923;0.2763572633266449;1.8683646543311356
0;0.27458233;1.8964861514252884;0.2763572633266449;1.8685261327221305
0;0.27515987;1.896362985285762;0.2763572633266449;1.868338172571354
0;0.2636276;2.0127746252103367;0.27632254362106323;1.9078736323853185
0;0.26433218;2.0107978129836783;0.2763572633266449;1.9050595862098387
0;0.26445925;2.0107793523360726;0.2763572633266449;1.9055496141252246
0;0.26427442;2.010842631122675;0.2763572633266449;1.9057805650090818
0;0.2644015;2.010764107063227;0.2763572633266449;1.9052091241867473
