epoch;accuracy;loss;val_accuracy;val_loss
0;0.22900763;2.422802637794242;0.2623941898345947;2.2704236663094166
1;0.27582696;2.171219971343761;0.4328899681568146;2.1100800700458677
2;0.28447837;1.9970041974506911;0.39419588446617126;2.081661198418835
3;0.3129771;1.9213506872720694;0.27448609471321106;2.005720549656085
4;0.32468194;1.8867828625759095;0.2781136631965637;2.038216957590456
0;0.8922453;0.309248299982116;0.9342925548553467;0.1707642991786914
1;0.94013244;0.14962616865856643;0.9110273718833923;0.1902883961641831
2;0.9437686;0.13725639355426866;0.9350074529647827;0.17002939615744547
3;0.94441545;0.13389661240903541;0.9366037845611572;0.16586111323540634
4;0.94523555;0.131521196386501;0.9365898966789246;0.16106385760152325
